date;nombre_total_classes;nombre_classes_fermees;nombre_total_structures;nombre_structures_fermees;nombre_total_ecoles;nombre_ecoles_fermees;nombre_total_colleges;nombre_colleges_fermes;nombre_total_lycees;nombre_lycees_fermes;nombre_etablissements_avec_offre_vaccinale;vacances_a;vacances_b;vacances_c;protocole_en_vigueur
2020-09-25;528400;1152;61500;19;50100;18;7200;1;4200;0;;0;0;0;protocole_20200922
2021-01-08;528400;9;61500;2;50100;0;7200;1;4200;1;;0;0;0;protocole_20200922
2021-06-04;528400;5115;61500;19;50100;19;7200;0;4200;0;;0;0;0;protocole_20210426
2021-06-18;528400;1285;61500;2;50100;1;7200;1;4200;0;;0;0;0;protocole_20210426
2021-09-24;527200;2366;59650;19;48950;18;6950;1;3750;0;4154;0;0;0;protocole_20210902
2021-10-15;527200;1180;59650;6;48950;5;6950;1;3750;0;9123;0;0;0;protocole_20211004
2021-10-22;527200;1246;59650;20;48950;20;6950;0;3750;0;9443;0;0;0;protocole_20211004
2021-11-19;527200;4048;59650;28;48950;28;6950;0;3750;0;;0;0;0;protocole_20211115
2021-12-03;527200;4578;59650;38;48950;36;6950;2;3750;0;;0;0;0;protocole_20211115
2022-01-21;527200;18786;59650;152;48950;140;6950;11;3750;1;;0;0;0;protocole_20220103
2022-02-11;295765;5907;32431;16;26553;16;3782;0;2096;0;;0;1;0;protocole_20220103
2020-11-13;528400;142;61500;21;50100;15;7200;5;4200;1;;0;0;0;protocole_20200922
2020-12-11;528400;125;61500;17;50100;14;7200;3;4200;0;;0;0;0;protocole_20200922
2021-02-05;528400;934;61500;105;50100;83;7200;16;4200;6;;0;0;0;protocole_20200922
2021-02-26;;72;15500;1;12691;0;1777;1;1032;0;;0;1;1;protocole_20210215
2021-03-12;528400;833;61500;30;50100;25;7200;4;4200;1;;0;0;0;protocole_20210215
2021-04-30;289380;1118;50100;19;;;;;;;;0;0;0;protocole_20210426
2021-05-07;528400;4992;61500;32;50100;25;7200;6;4200;1;;0;0;0;protocole_20210426
2021-05-28;528400;5115;61500;23;50100;21;7200;2;4200;0;;0;0;0;protocole_20210426
2021-07-02;528400;374;61500;4;50100;3;7200;1;4200;0;;0;0;0;protocole_20210426
2021-10-01;527200;1692;59650;8;48950;7;6950;0;3750;1;6758;0;0;0;protocole_20210902
2020-10-02;528400;290;61500;14;50100;12;7200;2;4200;0;;0;0;0;protocole_20200922
2020-10-16;528400;293;61500;27;50100;22;7200;3;4200;2;;0;0;0;protocole_20200922
2020-11-20;528400;222;61500;20;50100;13;7200;4;4200;3;;0;0;0;protocole_20200922
2020-11-27;528400;135;61500;23;50100;17;7200;3;4200;3;;0;0;0;protocole_20200922
2020-12-04;528400;123;61500;10;50100;8;7200;2;4200;0;;0;0;0;protocole_20200922
2021-06-11;528400;2709;61500;19;50100;18;7200;1;4200;0;;0;0;0;protocole_20210426
2021-06-25;528400;674;61500;9;50100;8;7200;1;4200;0;;0;0;0;protocole_20210426
2021-09-17;527200;3299;59650;16;48950;15;6950;1;3750;0;1314;0;0;0;protocole_20210902
2021-11-26;527200;8890;59650;74;48950;73;6950;1;3750;0;;0;0;0;protocole_20211115
2021-12-10;527200;3208;59650;45;48950;45;6950;0;3750;0;;0;0;0;protocole_20211209
2022-01-14;527200;14380;59650;226;48950;194;6950;21;3750;11;;0;0;0;protocole_20220103
2022-01-28;527200;21049;59650;102;48950;97;6950;4;3750;1;;0;0;0;protocole_20220103
2020-09-18;;;61500;89;50100;76;7200;5;4200;8;;0;0;0;protocole_20200901
2021-01-15;528400;138;61500;22;50100;20;7200;1;4200;1;;0;0;0;protocole_20200922
2021-01-22;528400;371;61500;64;50100;47;7200;13;4200;4;;0;0;0;protocole_20200922
2021-02-12;;1599;46527;103;38024;69;5513;26;2990;8;;1;0;0;protocole_20200922
2021-02-19;;1195;26765;66;22395;48;2894;14;1476;4;;1;0;1;protocole_20210215
2021-03-05;;430;32192;14;26365;11;3760;3;2067;0;;0;1;0;protocole_20210215
2021-10-08;527200;1254;59650;4;48950;4;6950;0;3750;0;8664;0;0;0;protocole_20211004
2022-02-04;527200;16836;59650;48;48950;47;6950;1;3750;0;;0;0;0;protocole_20220103
2020-10-09;528400;199;61500;24;50100;21;7200;1;4200;2;;0;0;0;protocole_20200922
2020-11-06;528400;7;61500;5;50100;3;7200;0;4200;2;;0;0;0;protocole_20200922
2020-12-18;528400;146;61500;34;50100;25;7200;7;4200;2;;0;0;0;protocole_20200922
2021-01-29;528400;444;61500;96;50100;75;7200;17;4200;4;;0;0;0;protocole_20200922
2021-03-19;528400;2018;61500;80;50100;63;7200;11;4200;6;;0;0;0;protocole_20210215
2021-03-26;528400;3256;61500;148;50100;116;7200;22;4200;10;;0;0;0;protocole_20210215
2021-04-02;528400;11272;61500;229;50100;187;7200;27;4200;15;;0;0;0;protocole_20210329
2021-05-21;528400;5110;61500;19;50100;17;7200;2;4200;0;;0;0;0;protocole_20210426
2021-12-17;527200;2970;59650;80;48950;77;6950;3;3750;0;;0;0;0;protocole_20211209
2022-02-18;170855;2274;16033;1;12900;1;1996;0;1137;0;;1;1;0;protocole_20220103
